race_data_id,final_place,PP,Horse,Jockey,Trainer,Odds,Win,Place,Show,year,race,highTemp,lowTemp,precipitation,weather,trackCondition,attendance
261,1,7,Justify,Bob Baffert,Mike Smith,3.5,7.8,6,4.4,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
262,2,6,Good Magic,Chad Brown,Jose Ortiz,10,0,9.2,6.6,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
263,3,5,Audible,Todd Pletcher,Javier Castellano,8,0,0,5.8,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
264,4,15,Instilled Regard,Jerry Hollendorfer,Drayden Van Dyke,86,0,0,0,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
265,5,10,My Boy Jack,Keith Desormeaux,Kent Desormeaux,7,0,0,0,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
266,6,13,Bravazo,D. Wayne Lukas,Luis Contreras,67,0,0,0,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
267,7,9,Hofburg,William Mott,Irad Ortiz Jr.,28,0,0,0,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
268,8,8,Lone Sailor,Thomas Amoss,James Graham,25,0,0,0,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
269,9,18,Vino Rosso,Todd Pletcher,John Velazquez,15,0,0,0,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
270,10,17,Solomini,Bob Baffert,Flabvien Prat,38,0,0,0,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
271,11,1,Firenze Fire,Jason Servis,Paco Lopez,60,0,0,0,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
272,12,11,Bolt d'Oro,Mike Ruis,Victor Ezpinoza,9,0,0,0,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
273,13,4,Flameaway,Mark Casse,Jose Lezcano,38,0,0,0,2018,Kentucky Derby,70,61,3.15,Showery,Sloppy,157813
